,Address,Phone,Website,Hours of Service
Jackson Food Pantry,"969 Moosehead Trail Jackson, ME 4921",(207) 722-3205,,
Jackson Inner-city Gardeners,"109 Hamilton Clinton, MS 39056",(601) 924-3539,www.jiggarden.org,
Jackson Memorial Food Pantry,"2338 Main Street Hartford, CT 6105",(860) 212-2668,,
Jackson Park Ministries,"5415 Airport Drive Charlotte, NC 28208",(704) 392-4981,,
Jackson Women of Today Food Pantry,"10 Don Conor Blvd Jackson, NJ 8527",(732) 833-6800,,
"Jacob A. Riis Neighborhood Settlement House, Inc.","10-25 41st Avenue Long Island City, NY 11101",(718) 784-7447,www.riissettlement.org,
Jamaica Hispanic SDA Church,"88-28 163rd St. Queens (Howard Beach), NY 11432",(718) 736-5291,,Sunday 8am - 9am
Jamaica Service Program for Older Adults,"92-47 165th St. Queens (Jamaica), NY 11433",(718) 657-6618,, Monday-Friday 8:30am - 4:30pm.
James Spring Memorial Baptist Church,"1845 W. Huntingdon Street Philadelphia, PA 19132",(215) 227-4214 x215,,W & Th 12:00 PM-3:30 PM
Jamesville Ecumenical Pantry,"6486 East Seneca Turnpike Jamesville, NY 13078",(315) 469-5093,,Mon Wed 10am-1pm 3rd Sat 9-11am
Jan Hus Presbyterian Church,"351 East 74th Street New York, NY 10021",(212) 288-6743,http://www.janhus.org/,"Soup Kitchen: Tuesday 5:45pm
Food Pantry: Monday, Tuesday, Wednesday, Thursday, Friday 10am - 11:45am, 1pm - 3:45pm.
"
Janus Youth Program,"707 NE Couch Street Portland, OR 97232",(503) 233-6090,www.janusyouth.org/home.php,
Jasa Bay View Senior Center,"9502 Seaview Avenue Brooklyn, NY 11236",(718) 251-3700,,Monday to Friday Approx. 2:00pm
Jasa Brighton Manhattan Beach Senior Center,"60 West End Avenue Brooklyn, NY 11235",(718) 646-1881,,Monday to Friday 12:00pm to 1:30pm
Jasa East Flatbush Senior Center,"650 Remsen Avenue Brooklyn, NY 11236",(718) 345-0222,,Friday after 1:00pm
Jasa Starret City Senior Citizen,"1540 Van Siclen Avenue Brooklyn, NY 11239",(718) 642-1010,,"M-F Breakfast: 8:00am-9:30am, Lunch: 12:00pm"
Jasper County Community Food Bank,"PO Box 254 133-B W. Washington Street Monticello, GA 31064",(706) 468-6076,,Tues - Thur 9am - 2pm
Jeanne Davis Memorial Food Pantry,"Corner of Washington & Fountain Ave Old Orchard Beach, ME 03906",(207) 934-5553 x1,,"Mon & Wed 9:00-11:00am
Once a week
Old Orchard Beach residents
Proof of residence and Social Sec # for children
"
Jeffco Action Center,"8755 W. 14th Ave Lakewood, CO 80215",(303) 237-7704,," -Monday, Tuesday, Wednesday, Friday  9:00 a.m -4:00 p.m.  Thursday 11:00 am-6:30 p.m.  "
Jefferson County Community Action Council,"114 North Fourth Street Steubenville, OH 43952",(740) 282-0971,,
Jefferson County Community Ministries,"238 West Washington St. Charles Town, WV 25414",(304) 725-3186,,
Jefferson County Rescue Mission,"P.O. Box 210 Pevely, MO 63070",(314) 479-3030,,
Jefferson Presbyterian Church,"4450 Jefferson Hwy Jefferson, LA 70123",(504) 388-3979,,
Jehovah Jireh Baptist Church,"4807 Haverford Avenue Philadelphia, PA 19139",(215) 473-0895 x267,,Sa 10:00 AM-12:00 PM
Jenkintown UMC - Food Pantry,"328 Summit Avenue Jenkintown, PA 19046",(215) 886-7250,,TH 12:00 PM-2:00 PM;  
Jeremiah's Inn,"1059 Main Street Worcester, MA 1603",(508) 755-6403,jeremiahsinn.org/,
Jericho Project,"306 W 94th Street New York, NY 10025",(212) 316-4700,,
Jerry Doliner Food Bank,"470 Andalusia Avenue Ormond Beach, FL 32174",(386) 672-0294,,
Jersey Food Pantry,"720 Shipman st. Jerseyville, IL 62052",(618) 498-3719,,
Jerusalem French Church S.D.A.,"537 E.Wyoming Avenue Philadelphia, PA 19120",(215) 324-0374,,S 9:30 AM-11:30 AM
Jessamine County Food Pantry,"104 S 2nd Nicholasville, KY 40356",(859) 885-4679,,
Jesus Focus Ministry - Food Pantry,"1150 Bristol Road Churchville, PA 18966",(215) 953-2000,,M 9:30 AM-11:30 AM;  T 9:00 AM-11:30 AM;  W 9:00 AM-11:30 AM;  TH 9:00 AM-11:30 AM;  F 9:00 AM-11:30 AM;  
Jesus Holy Temple Cupboard,"1997 N 63rd St Philadelphia, PA 19151",(215) 871-3323,,M 9:00 AM-12:00 PM
Jesus is the Light Ministries ,"2945 Wharton Street Philadelphia, PA 19146",(215) 463-2434,,T 12:00 PM-1:00 PM;  
Jesus Name Apostolic Church (Dawson Community Outreach),"77 Hugh Stowers Road Dawsonville, GA 30534",(678) 410-4455,,
"Jesus Name Apostolic Church,  Inc.  dba as Dawson Community Foodbank","77 Hugh Stowers Rd Dawsonville, GA 30534",(678) 410-4455,,Every Saturday 9:00-3:00
"Jesus Name Apostolic Church,  Inc.  dba as Dawson Community Foodbank","77 Hugh Stowers Rd Dawsonville, GA 30534",(678) 410-4455,,Every Saturday 9:00-3:00
Jesus of Nazareth Christian Assembly Organization,"455 Rogers Avenue Brooklyn, NY 11225",(718) 773-1960,, Fri & Sat  
Jewish Community Alliance of Southern Maine,"Jewish Family Services Portland, ME 04103",(207) 772-1959,www.mainejewish.org,Tuesdays & Thursdays 9am - 3:30pm
Jewish Community Center of Staten Island,"1466 Manor Rd. New York, NY 10314",(718) 475-5242,,"Monday, Tuesday, Wednesday, Thursday 10:30am-6:30pm; Friday 10am - 12pm. "
Jewish Community Council of Canarsie,"1170 Pennsylvania Avenue Suite 1B Brooklyn, NY 11239",(718) 495-6210,,M-Thur 10:00am to 12:00pm
Jewish Community Council of Pelham Parkway,"2157 Holland Avenue Bronx, NY 10462",(718) 792-4744,,"Tuesday, Wednesday, Thursday 1pm - 4pm"
Jewish Community Council of the Rockaway Peninsula,"1525 Central Avenue Far Rockaway, NY 11691",(718) 327-7755,,"Food Pantry: Tuesday, Thursday 9:30am - 1:30pm"
Jewish Council of Washington Heights,"121 Bennett Avenue New York, NY 10033",(212) 568-5450,,"Tuesday, Wednesday, Thursday 11:00am to 1:00pm"
Jewish Family & Children's Services of Greater Monmouth Cnty,"705 Summerfield Avenue Asbury Park, NJ 7712",(732) 774-6886,http://www.jfcsmonmouth.org/,
Jewish Family & Vocational Service of Middlesex County,"515 Plainfield Avenue Edison, NJ 8817",(732) 777-1940,,
Jewish Family Service Food Bank,"6505 Sylvania Avenue Sylvania, OH 43560",(419) 885-2561,,
Jewish Family Service Food Pantry,"5520 Wyoming Blvd. NE Albuquerque, NM 87109",(505) 291-1818,,
Jewish family service of greater wikes-barre,"71 W. Northampton Street wikes-barre, PA 18701",(508) 823-5237,www.jfswb.org,
"Jewish Family Service, Inc","1485 Teaneck Road Teaneck, NJ 7666",(201) 837-9090,http://www.jfsbergen.org/,
Jewish Family Services Food Pantry,"57 Ashmont Street Portland, ME 04101",(207) 772-1959,,"Tuesday & Thursday, 9:00am-3:00pm                            
By appointment only 
Once a month
Portland and Greater Portland residents
Proof of residence 
"
Jewish Family Services Food pantry,"57 Ashmont St. Portland, ME 4103",(207) 772-1959,,
Jewish Family Services of Delaware,"99 Passmore Rd. Wilmington, DE 19803",(302) 478-9411,http://www.jfsdelaware.org/,
Jewish Services Coalition,"1525 Central Avenue Far Rockaway, NY 11691",(718) 327-6060,,
JFVS Kosher Food Pantry,"32 Ford Avenue Milltown, NJ 8850",(732) 777-1940,,
Jobs for Youth - Chicago,"50 E Washington Street Chicago, IL 60602",(312) 499-2902,,
Jobs with Justice,"1325 Massachusetts Avenue NW Washington, DC 20005",(202) 393-1044,www.jwj.org,
"JOBS, etc.of Schenectady Inner City Ministry","924 Albany Street Schenectady, NY 12307",(518) 347-2562,,
Joe & Jean Travis HIV/AIDS food Bank,"5200 Mariposa Dr NW Albuquerque, NM 87120",(505) 898-3318,,
Joe Montoya Community and Senior Center,"245 N. Thrope Rd Flagstaff, AZ 86001",,,Monday-Friday lunch served at 12:00PM
John H. Boner Center,"2236 E 10th Street Indianapolis, IN 46201",(317) 633-8210,,
John Heuss House Drop-In Center,"42 Beaver Street New York, NY 10004",(212) 785-0774,,M-F Breakfast 10:30am; Dinner 4:30pm
John Knox Food Pantry,"4150 Kalamazoo Av. SE Kentwood, MI 49508",(616) 455-9411,http://dev.john-knox.org/index.php/en/food-pantry,MWF 10-2
John Knox Soup Lunch,"304 South Poston Street Shelby, NC 28150",(704) 487-6293,,
John Paul II Training Center,"221 Highland Terrace Gainesville, GA 30501",(678) 943-1125,, Tuesday to Sunday  
John Wesley United Methodist Church,"260 Quincy Avenue Brooklyn, NY 11226",(718) 424-9873,,Thursday 12:30pm-2:00pm
John's Chapel Holiness,"2073 Chestnut Street Hickory Grove, SC 29717",(803) 925-2659,,
Johnsburg Food Pantry,"2718 State Route 28 North Creek, NY 12853",(518) 251-3481,,
Johnson Concerned Care Center,"2229 W. Thompson Street Philadelphia, PA 19121",(215) 763-1349,,"M, W & F 9:00 AM-12:00 PM"
Johnson Homes Tenant Council,"2500 W. Norris Street Philadelphia, PA 19121",(215) 765-4098,,3rd Sa 9:00 AM-2:00 PM
Johnston-Lee-Harnett Community Action,"1102 Massey Street Smithfield, NC 27577",(919) 934-2145,, M-F 8-5  
JOIN: A Center for Involvement,"1136 Se Oak Street Portland, OR 97214",(503) 232-2031,,
Joint Base Anacostia – Boiling Air Force Base (Military Families ONLY,"Bolling Air Force Base Washington, DC 20032",(202) 380-6936,,
"Joint Neighborhood Project, Inc.","532 E 2nd Street Jamestown, NY 14701",(716) 664-7101,, -Monday through FridayOffice: 8:30am -4:30pmFood Pantry: 9:00am-11:30amNearly New Store: 10:00am-3:00pmOutreach Programs: 8:30am - 4:30pmSummer Day Camp: 6 weeks each summer from 8:30am to 4:00pmHealth   Promotion: as neededLive and Learn English: Monday and Wednesday 11:00am-1:00pm and 6:00-8:00pm  
Jonah's House Food Pantry,"512 W. Stevens Carlsbad, NM 88220",(575) 887-5904,,
Jones Chapel African Methodist Episcopal church,"3034 Carr's Station Road Sparta, GA 31087",(706) 444-6744,,10am - 5pm
Jones Memorial Church,"3050 North 22nd Street Philadelphia, PA 19132",(215) 729-2373 x267,,Sa 12:00 PM-4:00 PM
Jones Tabernacle AMC Church ,"2021 W. Diamond Street Philadelphia, PA 19121",(215) 236-3028,,3rd Thursday(9am-4pm)
Jones Tabernacle AME Church,"2021 W. Diamond Street Philadelphia, PA 19121",(215) 236-3028,,3rd TH 10:00 AM-1:00 PM;  
Jones Valley Teaching Farm (formerly: Jones Valley Urban Farm),"701 25th St N Birmingham, AL 35255",(205) 439-7213,http://jvtf.org/,
Jonnycake Center of Peace Dale,"1231 Kingstown Rd. Peace Dale, RI 2879",(401) 789-1559,http://www.jonnycakecenter.org/,30
Jordan's Chapel UMC Food Pantry,"1977 Alum Spring Road Pulaski, VA 24301",(540) 980-6958,,
Joseph's Hand,"1109 Cross Link rd. Raleigh, NC 27610",(919) 798-8510,, -Wednesday 4:00pm - 7:00pmFriday 6:00pm - 7:00pm  
Josephine County Food Bank,"317 NW B Street Grants Pass, OR 97526",(541) 474-5440,,
Josie D. Heard A.M.E.Church,"4321 Tower Street Philadelphia, PA 19127",(484) 686-4538 x215,,"Su call for hours, T 9:30 AM-12:00 PM"
Josie D. Heard AME Church,"4321 Tower St Philadelphia, PA 19127",(484) 686-4538,,T 10:00 AM-1:00 PM
Journey Of Faith,"6340 Baynton St Philadelphia, PA 19144",(267) 983-7264 x215,,T 10:00 AM-2:30 PM
Journey's Way,"403 Rector Street Philadelphia, PA 19128",(215) 487-1750,,4th TH 2:00 PM-4:00 PM; 4th F 9:00 AM-11:00 AM;  
Journeys from PADS to HOPE,"1140 E. Northwest Hwy. Palatine, IL 60074",(847) 963-9163,www.padstohope.org,
Joy Junction,"4500 2nd St. SW Albuquerque, NM 87125",(505) 877-6967,, Monday thru Friday 9:00am until 4:00pmCall 24 hours/7 days a week 1-800-924-0569Accepts Referrals  
JOY Soup Kitchen,"700 Albemarle Avenue Greenville, NC 27834",(252) 561-7519,, seven days a week 11-12  
Joyce Williams Shelter,"1219 N 13th Street Kansas City, KS 66102",(913) 321-1566,,
Jubilee Association,"2005 Wyandltte Street Pittsburgh, PA 15219",(412) 261-5417,,
Jubilee Commandment Keepers COTL,"2440 North 15th Street Philadelphia, PA 19132",(215) 223-7180,,W 5:00 PM-7:00 PM;  
Jubilee Food Pantry,"2492 Baines Blvd. Hubbard, OR 97032",(503) 819-5941,,
Jubilee Food Pantry,"2704 Point Mallard Parkway Decatur, AL 35603",(256) 355-7771,,
"Jubilee Project, Inc.","P.O. Box 657 Sneedville, TN 37869",(423) 733-4195,jubileeproject.holston.org/,
Jubilee Worship Center,"5716 Chester Avenue Philadelphia, PA 19143",(215) 382-0861,,T 11:00 AM-1:00 PM
Judson Memorial Church,"55 Washington Square South New York, NY 10012",(212) 477-0351,http://www.judson.org/,"Potluck Meal: 1st Wednesdays of month. Doors open 7pm, food served 7:15pm, followed by a performance"
Judy's Pantry ,"280 Ocean House Road Cape Elizabeth, ME 04107",(207) 799-8396,,"Tuesday 3:00-5:00pm:  Jan-June 2nd and 4th Tues,  Jul-Dec every week Once a week

"
Julie's Family Learning Program,"230 W 6th Street South Boston, MA 2127",(617) 269-6663,,
"Juneau Cooperative Christian Ministry ""The Glory Hole""","247 South Franklin Street Juneau, AK 99801",(907) 586-4159,http://www.feedjuneau.org/,"24/7
Food boxes distributed 7 days a week 1-4 PM & 7-9 PM; 
Breakfast served 8:30 Am M-Sa, Lunch 12 PM M-Sa, Brunch 11 AM Sunday, Snack 3 PM Su-Sa, Dinner 6 PM Su-Sa "
Juneau Senior Center (Catholic Community Service),"895 W 12th Suite 160 Juneau, AK 99801",(907) 463-6175,http://www.ccsjuneau.org/index.php,Monday-Friday 8:30 AM-2:30 PM
Juniper Level Baptist Church,"9401 Sauls road Raleigh, NC 27603",() -,,
JUNTA for Progressive Action,"169 Grand Avenue New Haven, CT 6513",(203) 787-0191,www.juntainc.org,
Just Food,"208 East 51st St., 4th Floor New York, NY 10022",(212) 645-9880,www.justfood.org,
Just Harvest ,"16 Terminal Way Pittsburgh, PA 15219",(412) 431-8960,http://www.justharvest.org/,
Just the Right Attitude,"13150 I-10 Service Rd. New Orleans, LA 70128",(504) 309-2492,www.jtra.org/,
"Justice and Peace Office, Inc.","800 S Hawthorne Ave Apopka, FL 32703",(407) 889-0100,, 9:00-5:00pm  
Justice Organization Inc.,"87-43 164th Street Jamaica, NY 11432",(718) 297-2084,,
"Justice, Economic Dignity: Independence for Women","352 South Denver St. Suite 260 Salt Lake City, UT 84111",(801) 364-8562,www.jedi4women.org,
"Justiceville/Homeless, USA - Dome Village","847 Golden Avenue Los Angeles, CA 90017",(213) 892-9011,www.domevillage.org, Office:M-F 9-5Shelter 24 hrs.  
"Juvenile Education and Awareness Project, Inc.","40 Market Street Passaic, NJ 7055",(973) 925-9353,,
K Samela Food Pantry,"56 South Cliff St Ansonia, CT 6401",(203) 734-2715,,
Kaighn Avenue Baptist Church - Food Pantry,"831 Kaighns Avenue Camden, PA 08103",(856) 365-4496,,W 10:00 AM-1:00 PM;  
Kairos AME Church,"20 Franklin Street Port Jervis, NY 12771",(845) 858-8812,,
Kairos Prison Ministries,"308 Holly Branch Drive Holly Springs, NC 27540",() -,,
Kake Senior Center (Catholic Community Service),"177 3rd Ave Kake, AK 99830",(907) 785-3172,"http://www.ccsjuneau.org/104,kake",Monday-Thursday 8 AM-3 PM
"Kaleidoscope, Inc.","1340 S. Damen Ave. Chicago, IL 60622",(773) 278-7200,,
Kamiah Food Bank,"208 Larch Rd. Kamiah, ID 83536",(208) 935-0435,,
Kanabec County Family Service Dept. ,"905 Forrest Ave. E. Ste. 150, MN 55051",(320) 679-6350,https://mnhumanservices.dhs.state.mn.us/user-registration-web/spring/public/login?execution=e1s1,
Kanabec County Public Health Nursing Service (261),"905 Forrest Ave. E. Ste. 140 Mora, MN 55051",(320) 679-6329,co.kanabec.mn.us,
Kandiyohi County Family Service Dept. ,"2200 23rd St NE Ste 1020 Willmar, MN 56201",(320) 231-7800,www.co.kandiyohi.mn.us ,
Kandiyohi County Health Service (271),"2200 23rd St NE Ste 1020 Willmar, MN 56201",(320) 231-7066,http://www.co.kandiyohi.mn.us/departments/public_health/wic_nutritional_program.php,
Kane Area Food Pantry,"342 Chase St Kane, PA 16735",(814) 837-6694,,
Kanenhi:io Ionkwaienthonha:kie (We Are Planting Good Seeds),"PO Box 205 Akwesasne, NY 13655",(518) 332-3156,www.kanenhiio.org/,
Kannapolis Alliance Church,"2106 West ""C"" Street Kannapolis, NC 28081",(704) 932-8312,,
Kansas City Center for Urban Agriculture,"P.O. Box 6043 Kansas City, KS 66106",(913) 515-2426,www.kccua.org,
Kansas City Community Gardens,"6917 Kensington Kansas City, MO 64132",(816) 931-3877,http://www.kccg.org/,
Kansas Ecumenical Ministries,"5833 S W 29th Street Topeka, KS 66614",(785) 272-9531,,
Kansas Food Bank,"1919 E. Douglas Wichita, KS 67211",(316) 265-3663,http://www.kansasfoodbank.org/,
Kansas Foodbank Warehouse,"1919 E. Douglas Wichita, KS 67211",(316) 265-4421,http://www.kansasfoodbank.org/,
Kansas Rural Center,"P.O. Box 133 Whiting, KS 66552",(785) 748-0959,www.kansasruralcenter.org/,
Karenangela Carter Memorial Food Bank,"45 Manchester St. Manchester, NH 3104",(603) 668-6226,,
Kathederal Community DevelopmentFoodPantry,"6304 N. 30th Street Tampa, FL 33578",(813) 753-0118,,
Katherine Engel Center,"241 West 72nd Street New York, NY 10023",(212) 799-7205,,
"Kauai Food Bank, Inc.","3285 Wa'apa Road Ste. A Lihue, HI 96766",(808) 246-3809,http://www.kauaifoodbank.org/, M-F 8AM - 4PM  
Keep the Faith Community Development,"1901 Harrison St. Philadelphia, PA 19124",(215) 533-3021,,"T 5:00 PM-6:00 PM, Sa 12:00-2:00 PM"
Kehilat Sephardim of Ahavat Achim,"150-62 78 Rd. Queens (Flushing), NY 11367",(718) 591-9574,http://www.KehilatSephardim.org,"Monday & Wednesday 10am - 2pm
Sunday 10am - 4pm"
Kelly Temple Church,"8-12 130th Street New York, NY 10037",(212) 289-7054,,
Kenai Peninsula Food Bank,"33955 Community College Drive Soldotna, AK 99669",(907) 262-3111,http://www.foodbankofalaska.org/partners/kenai.htm,
Kendall County Food Pantry,"1204 Deer Street Yorkville, IL 60560",(630) 553-0473,http://www.kendallcountyfoodpantry.org/, Monday 8am- noonThursday 2pm- 7pm  
Kennebunk Community Food Pantry,"80 Thompson Rd Kennebunk, ME 04093",(207) 967-3613 x207,,"2nd (teen) Tuesday 12:00pm or by appointment
As needed
Kennebunk, Kennebunkport, and Arundel residents
No documentation required



"
Kennett Area Comm. Service - Food Pantry,"136 W. Cedar Street Kennett Square, PA 19348",(610) 925-3556,http://www.kacsonline.net/,M 12:00 PM-3:00 PM;  W 12:00 PM-6:00 PM;  F 12:00 PM-3:00 PM;  
Kennett Area Community Service,"136 W Cedar Street Kennett Square, PA 19348",(484) 732-8132,,"M 12:00 PM-3:00 PM, W 12:00 PM-6:00 PM, F 12:00 PM-3:00 PM"
Kennett Area Community Service,"136 W Cedar Street Kennett Square, PA 19348",(484) 732-8132,,"M 12:00 PM-3:00 PM, W 12:00 PM-6:00 PM, F 12:00 PM-3:00 PM"
Kennett Area Community Service /Kennett Food Cupboard,"115 South Broad Street Kennett Square, PA 19348",(610) 925-3556,,
Kensington Assembly of God,"3451--3447 Frankford Avenue Philadelphia, PA 19134",(215) 291-8684,,W 9:00 AM-12:00 PM
Kent Christian Center,"3282 N. Dupont Hwy Dover, DE 19901",(302) 678-3837,http://faithfamilyjesus.com/, mon-fri: 8-4  
Kent Food Bank,"515 W. Harrison Street Kent, WA 98032",(253) 520-3550,,
Kentucky Food Bank,"P.O. Box 821 Elizabethtown, KY 42702",(207) 769-6997,,
Kentucky Housing Corporation,"1231 Louisville Road Frankfort, KY 40601",(502) 564-7630,www.kyhousing.org/,
Kentucky Mountain Health Alliance,"1710 N. Main St Hazard, KY 41701",(606) 487-9505,, 9:00am - 5:00pm  
Kenwood Oakland Community Organization,"1238 E 46th Street Chicago, IL 60653",(773) 548-7500,,
Kerith SDA Church,"230-11 Linden Blvd. Cambria Heights, Queens, NY 11411",(917) 523-7476,,Wednesday 5:30pm-7:30pm
Kern County Economic Opportunity Corporation Food Bank,"P.o. Box 134 Bakersfield, CA 93301",(661) 634-1075,,
Kerr Center for Sustainable Agriculture,"24456 Kerr Road Poteau, OK 74953",(918) 647-9123,http://www.kerrcenter.com/,
Ketchikan Senior Center (Catholic Community Service),"Senior Services Building 1016 Water St Ketchikan, AK 99901",(907) 225-6578,"http://www.ccsjuneau.org/105,ketchikan","Monday-Friday 8:00 AM-4:30 PM, lunch is served at noon"
"Keyport Ministerium Food Pantry, Inc.","PO Box 35 Keyport, NJ 7735",(732) 888-1986,http://www.keyportfoodpantry.org/," Tues , Thursday9:30-11:30  "
Keystone Opportunity Center,"104 North Main St Souderton, PA 18964",(215) 723-5430 x101,,T 10:00 AM-2:00 PM;  W 10:00 AM-2:00 PM;  TH 10:00 AM-7:00 PM;  
Kheprw Institute,"159 W. 28th Street Indianapolis, IN 46208",(317) 329-4803,n/a,
King County Housing & Community Development,"821 2nd Avenue Seattle, WA 98104",(206) 296-8641,,
King Emmanuel Community Services & Development,"340-44 Malcolm X Blvd Brooklyn, NY 11233",(718) 773-1650,,"9:00am-1:00pm Thursday, Friday, Saturday"
King Emmanuel Missionary Baptist Church,"411 Dewberry Street Lamar, SC 29069",(843) 326-7134,,
King Ferry Food Pantry,"8703 Route 90 King Ferry, NY 13081",(315) 497-2049,,Any day by appointment
King Ferry Food Pantry - Good Shepherd Catholic Community - Migrant Farmworker Outreach,"3845 Mather Rd Moravia, NY 13118",(315) 497-2049,,
King Ferry Food Pantry at GSCC,"8703 State Route 90 King Ferry, NY 13081",(315) 497-2049,,
King Karate - Harvesting Earth Farm,"G-5339 N. Saginaw Street Flint, MI 48505",(810) 785-5505,www.kingkarate.org,
king of kings community church,"1000 route 9 manahawkin, NJ 8050",(609) 597-7177,http://kingofkingscc.org/,2 a wk
King Solomon Sharing & Caring,"2656 Baird Blvd Camden, NJ 08105",(856) 963-4001,,T 12:00 PM-2:00 PM
Kingdom Life Christian Center,"6814Torresdale Avenue Philadelphia, PA 19135",(215) 327-9621 x267,,Th 11:00 AM-3:00 PM
Kingdom Of God Church food Pantry,"401 Henkle St. Jeanerette, LA 70544",(337) 276-5931,,1:pm-4:pm
Kingman Area Food Bank,"2930 E Butler Ave Kingman, AZ 86409",(928) 757-4165,," Mon, Wed, Fri 9-12am  "
"Kings Bay ""Y"" Senior Citizen Center","3679 Nostrand Avenue Brooklyn, NY 11229",(718) 648-2053,,M-F Lunch: 11:30am
"Kings Bay YM-YWHA, Inc.","3495 Nostrand Avenue Brooklyn, NY 11229",(718) 648-7703,,Monday-Friday 9am-5pm
"Lowville Food Pantry, Inc.","7646 Forest Avenue Lowville, NY 13367",(315) 376-7431,www.lowvillefoodpantry.org,Mon-Fri 9 am to 11:30 Tues and Thurs Eves 5-7 
Loyal Baptist Church,"881 East 167th Street Bronx, NY 10459",(718) 328-3512,,Food Pantry: Thursday 11am - 3pm
Luch's Hearth Women's Shelter,"913 W Main Road Middletown, RI 2842",(401) 847-2021,,
Lucille Murray Child Development Center,"296 E 140th Street Bronx, NY 10454",(718) 665-0494,,
Ludlow Food Pantry,"831 Ludlow Road Ludlow, ME 4730",(207) 538-6404,,
Ludlow Food Pantry,"306 Thomas Street Ludlow, IL 60949",(217) 840-7271,,
Luke-Krohn Senior Center,"1940 1/2 E Villa Street Phoenix, AZ 85006",(602) 262-6835,,
Luna County SNAP Office,"910 East Pear St Deming, NM 88030",(575) 546-0467,,
Lunch Break,"121 Drs. James Parker Blvd. Red Bank, NJ 7701",(732) 747-8577,http://www.lunchbreak.org/,9:00 am -2:30 pm 6 days per week 
LUNCH: Local United Network to Combat Hunger,"PO Box 511 Mystic, CT 6355",(860) 572-9285,, Schedules are arranged on a per-project basis.  
Lutheran Alliance to Create Housing,"6532 Phinney Ave. North Seattle, WA 98103",(206) 789-1536,,
Lutheran Child and Family Hardin,"200 A South County rd. Hardin, IL 62047",() -,,
Lutheran Child and Family Services ,"1016 N. 41st Street Philadelphia, PA 19104",(215) 386-0379,,Third Monday- 12pm-3pm
Lutheran Children and Family Services,"231 N. 63rd Street Philadelphia, PA 19139",(215) 747-7500,www.lcfsinpa.org/,
Lutheran Church of Holy Communion,"2111 Sansom Philadelphia, PA 19103",(215) 567-3668,,"W 11:00 AM-1:00 PM; Pantry 2nd & 4th W, CSFP 3rd W"
"Lutheran Church of the Resurrection (Prairie Village, KS)","9100 Mission Rd. Prairie Village, KS 66206",(913) 649-0438,http://lcrpv.org/,9:00am to 10:30am Saturdays
Lutheran Family and Community Services,"308 West 46th Street New York, NY 10036",(212) 265-1826,www.lss-mny.org,
Lutheran Family Services,"P.O. Box 12287 Raleigh, NC 27605",() -,,
Lutheran Metropolitan Ministries ,"2100 Lakeside Avenue Cleveland, OH 44114",(216) 566-0240,,
Lutheran Settlement House ,"1340 Frankford Avenue Philadelphia, PA 19125",(215) 426-8610 x1298,,Mon-Fri from 8:30-4pm
Lutheran Settlement House,"1542 E.Montgomery Avenue Philadelphia, PA 19125",(215) 426-8610 x215,,M-F 9:00 AM-1:00 PM
Lutheran Settlement House Senior,"1542 East Montgomery Avenue Philadelphia, PA 19125",(215) 426-8610 x1298,,T 12:00 PM-2:00 PM;  3rd F 9:00 AM-12:00 PM;  
Lutheran Settlement House Senior,"1340 Frankford Avenue Philadelphia, PA 19125",(215) 426-8610 x1298,,Call to sign up
Lutheran Social Ministries of NJ,"3 Manhattan Drive Burlington, NJ 8016",(609) 386-7171,http://www.lsmnj.org/,
Lutheran Social Services,"800 N. Bruce Las Vegas, NV 89101",(702) 639-1730,, M-F 8am to 12pm  
Lutheran Social services,"1582 E Main Street Lancaster, OH 43130",(614) 653-2012,,
Lutheran Social Services Food Pantry,"315 Main St Caldwell, OH 43724",(740) 732-7570,,
Lutheran Social Services Food Pantry,"2373 Sullivant Ave Columbus, OH 43204",(614) 279-4635,,
Lutheran Social Services Food Pantry,"2045 East Main St Lancaster, OH 43130",(740) 687-5130,,
Lutheran Social Services Mobile Pantry,"1847 W Northern Lights Blvd Anchorage, AK 99517",(907) 272-0643,http://www.lssalaska.org/,Mobile food pantry thursdays at 4:30 PM in the Lutheran Church of Hope parking lot
Lutheran Social Services Of Alaska,"1303 W. 33rd Ave Anchorage, AK 99503",(907) 272-0643,www.lssalaska.org/,"Tuesday, Thursday & Friday 1-4 PM, Wednesday 4:30-7 PM"
Lutheran Social Services of Central Ohio,"750 E Broad Street Columbus, OH 43205",(614) 228-5209,,
Lutheran Social Services of North Dakota,"P.o. Box 1914 Fargo, ND 58103",(701) 232-2624,,
Lutheran Social Services of Northern California,"2980 35th St. Sacramento, CA 95817",(916) 442-8200,www.charitablechoices.org/lssnocal/,
Lutheran Social Services of Southern California,"6425 Tyrone Ave. Van Nuys, CA 91401",(818) 901-9499,http://www.lsssc.org/,
Lutheran Social Services of the Southwest,"5049 E. Broadway Blvd. Phoenix, AZ 85004",(520) 748-2300,www.lss-sw.org,
Lutheran Social Services Westside Food Pantry,"7205 N. 51st Avenue Glendale, AZ 85301",(623) 848-8278,,9Am-12PM
Lynchburg Daily Bread,"721 Clay Street Lynchburg, VA 24504",(434) 845-5703,http://lynchbugrdailybread.com/,10:50-12:20
Lynchburg Daily Bread,"721 Clay Street Lynchburg, VA 24504",(434) 845-5703,http://www.lynchburgdailybread.com/,10:50-12:20
Lynchburg Grows,"P.O. Box 12039 Lynchburg, VA 24506",(434) 846-5665,www.lynchburggrows.org,
